#separator:Semicolon
#html:false
#deck column:3
#columns:Front;Back;Deck
nom;der Name-n;identité, informations personnelles
adresse;die Adresse-n;identité, informations personnelles
adresse;die Anschrift-en;identité, informations personnelles
numéro;die Nummer-n;identité, informations personnelles
numéro de téléphone;die Telefonnummer-n;identité, informations personnelles
date de naissance;das Geburtsdatum-/en;identité, informations personnelles
lieu de naissance;der Geburtsort-e;identité, informations personnelles
age;das Alter-;identité, informations personnelles
genre/sexe;das Geschlecht-er;identité, informations personnelles
statut marital;der Familienstand-″e;identité, informations personnelles
relation (personnelle);die Beziehung-en;identité, informations personnelles
nationalité;die Staatsangehörigkeit-en;identité, informations personnelles
origine;die Herkunft-″e;identité, informations personnelles
apparence;das Aussehen;identité, informations personnelles
habitude;die Gewohnheit-en;identité, informations personnelles
habitation;die Wohnung-en;logement
masse, prise de terre;die Erdung-en;logement
maison;das Haus-″er;logement
maison d'habitation;das Wohnhaus-″er;logement
pièce (d'un bâtiment);das Zimmer-;logement
éclairer;leuchten;logement
mur, partition (de l’intérieur);die Wand-″e;logement
mur (pierre ou ciment);die Mauer-n;logement
équipement;die Einrichtung-en;logement
meuble;das Möbel-;logement
pièce de mobilier;das Möbelstück-e;logement
loyer;die Miete-n;logement
locataire;der Mieter-, die Mieterin-nen;logement
contrat de location;der Mietvertrag-″e;logement
propriétaire;der Eigentümer-, die Eigentümerin-nen;logement
loueur/propriétaire;der Vermieter-, die Vermieterin-nen;logement
propriété (chose qui appartient);das Eigentum-″er;logement
déménagement;der Umzug-″e;logement
déménager;um-ziehen (og-og);logement
emménager;ein-ziehen (og-og);logement
animal de companie;das Haustier-e;logement
ménage (famille);der Haushalt-e;logement
escalier;die Treppe-n;logement
marche d'escalier;die Stufe-n;logement
couloir;der Korridor-e;logement
cuisine;die Küche-n;logement
chambre;das Schlafzimmer-;logement
salle de bain;das Badezimmer-;logement
entrée de maison;der Hauseingang-″e;logement
bain;das Bad-″er;logement
vestibule;der Flur-e, die Diele-n;logement
salon;das Wohnzimmer-;logement
toilette (endroit);die Toilette-n;logement
porte;die Tür-en;logement
fenêtre;das Fenster-;logement
jardin;der Garten-″;logement
portail;das Tor-e;logement
garage;die Garage-n;logement
pelouse;der Rasen-;logement
cloture;der Zaun-″e;logement
appareil;das Gerät-e;logement
four;der Ofen-″;logement
four à microondes;die Mikrowelle-n;logement
cuisinière/plaques (meuble);das Herd-e;logement
lit;das Bett-en;logement
linge;die Wäsche-n;logement
coussin, oreillet;das Kissen-;logement
linge de lit;die Bettwäsche-n;logement
réveil (horloge);der Wecker-;logement
couverture;die Decke-n;logement
table;der Tisch-e;logement
table de nuit;der Nachttisch-e;logement
placard;der Schrank-″e;logement
étagères;das Regal-e;logement
tiroir;die Schublade-n;logement
chaise;der Stuhl-″e;logement
miroir;der Spiegel-;logement
tabouret;der Hocker-;logement
frigo;der Kühlschrank-″e;logement
machine à laver;die Waschmaschine-n;logement
aspirateur;der Staubsauger-;logement
évier;die Spüle-n, das Spülbecken-;logement
cafetière;die Kaffeemaschine-n;logement
bibliothèque (meuble);das Bücherregal-e;logement
bureau (meuble);der Schreibtisch-e;logement
congélateur (compartiment & objet);der Gefrierschrank-″e;logement
lampe;die Lampe-n;logement
lumière;das Licht-er;logement
bougie (lumière);die Kerze-n;logement
ampoule (lumière);die Glühbirne-n;logement
cloche, sonnette;die Glocke-n;logement
rideau;der Vorhang-″e;logement
tapis;der Teppich-e;logement
tapis, paillasson;die Matte-n;logement
canapé;das Sofa-s;logement
fauteuil;der Sessel-;logement
lampe de bureau;die Schreibtischlampe-n;logement
radiateur (maison);der Heizkörper-;logement
cadre;der Rahmen-;logement
prise de courant;die Steckdose-n;logement
interrupteur;der Schalter-;logement
interrupteur d'éclairage;der Lichtschalter-;logement
clé;der Schlüssel-;logement
habiter;wohnen;logement
fermer à clé;ab-schließen (o-o);logement
allumer;an-machen, ein-schalten;logement
éteindre;aus-machen, ab-schalten;logement
sol (parterre);der Boden-″;logement
carrelage;die Fliese-n;logement
moquette;der Teppichboden-″;logement
parquet;das Parkett-e;logement
plafond;die Decke-n;logement
lustre (lumière);der Kronleuchter-;logement
rebord de fenêtre;das Fensterbrett-er;logement
panneau de verre, vitre;die Scheibe-n;logement
vitre;die Fensterscheibe-n;logement
toit;das Dach-″er;logement
tuile;der Dachziegel-;logement
brique;der Ziegel-;logement
grenier;der Dachboden-″;logement
boite aux lettres;der Briefkasten-″;logement
coffre;der Kasten-″;logement
caisse;die Kiste-n;logement
cave;der Keller-;logement
visiter (quelqu’un);besuchen;logement
visite;der Besuch-e;logement
visiteur;der Besucher-, die Besucherin-nen;logement
invitation;die Einladung-en;logement
habitant;der Bewohner-, die Bewohnerin-nen;logement
grenier, dernier étage;das Dachgeschoss-e;logement
rez-de-chaussée;das Erdgeschoss-e;logement
région (environs);die Gegend-en;logement
terrain (immobilier);das Grundstück-e;logement
concierge;der Hausmeister-, die Haustmeisterin-nen;logement
gestion immobilière;die Hausverwaltung-en;logement
loyer sans les charges;die Kaltmiete-n;logement
loyer et charges;die Warmmiete-n;logement
caution;die Kaution-en;logement
situation (position);die Lage-n;logement
agent (immmobilier);der Makler-, die Maklerin-nen;logement
coûts additionnels;(pl.) Nebenkosten;logement
étage;das Obergeschoss-e;logement
étage (1er, etc.);der Stock-″e;logement
commission (charge);die Provision-en;logement
banlieue;der Vorort-e;logement
bureau du logement;das Wohnungsamt-″er;logement
"aide financière pour le paiement du loyer (""allocation de logement"")";das Wohngeld-er;logement
donner son congé (terminaison de contrat);kündigen;logement
rénover;renovieren;logement
ascenseur;der Fahrstuhl-″e;logement
ascenseur;der Aufzug-″e;logement
vêtement;die Kleidung-en;vêtements & bijoux
habillement;die Bekleidung-en;vêtements & bijoux
ceintre;der Bügel-;vêtements & bijoux
tache;der Fleck-e;vêtements & bijoux
bouton de vêtement;der Knopf-″e;vêtements & bijoux
lacer les chaussures;die Schuhe schnüren;vêtements & bijoux
pantalon;die Hose-n;vêtements & bijoux
short;(pl.) Shorts;vêtements & bijoux
chaussure;der Schuh-e;vêtements & bijoux
chaussette;die Socke-n;vêtements & bijoux
collant;die Strumpfhose-n;vêtements & bijoux
botte;der Stiefel-;vêtements & bijoux
sandale;die Sandale-n;vêtements & bijoux
baskets;der Sportschuh-e;vêtements & bijoux
ceinture;der Gürtel-;vêtements & bijoux
chemise;das Hemd-en;vêtements & bijoux
tshirt;das T-shirt-s;vêtements & bijoux
robe;das Kleid-er;vêtements & bijoux
jupe;der Rock-″e;vêtements & bijoux
manteau;der Mantel-″;vêtements & bijoux
parapluie;der Regenschirm-e;vêtements & bijoux
hoodie;der Hoodie-s;vêtements & bijoux
sweatshirt;das Sweatshirt-s;vêtements & bijoux
pull;der Pullover-;vêtements & bijoux
collier;die Halskette-n;vêtements & bijoux
bijou;der Schmuck-e;vêtements & bijoux
chaine;die Kette-n;vêtements & bijoux
anneau;der Ring-e;vêtements & bijoux
pullover;der Pulli-s;vêtements & bijoux
boucle d'oreille;der Ohrring-e;vêtements & bijoux
"habit (“fringues"")";die Klamotte-n;vêtements & bijoux
bague;der Ring-e;vêtements & bijoux
montre, horloge;die Uhr-en;vêtements & bijoux
montre-bracelet;die Armbanduhr-en;vêtements & bijoux
bracelet;das Armband-″er;vêtements & bijoux
chapeau;der Hut-″e;vêtements & bijoux
casquette;die Mütze-n;vêtements & bijoux
rayé (motif);gestreift;vêtements & bijoux
motif à pois;das Punktmuster-;vêtements & bijoux
à carreaux;kariert;vêtements & bijoux
motif;das Muster-;vêtements & bijoux
jeans;die Jeans-;vêtements & bijoux
élégant (chic);schick;vêtements & bijoux
pijama;das/der Pyjama-s;vêtements & bijoux
porter (habit);tragen (ä-u-a);vêtements & bijoux
lunettes;die Brille-n;vêtements & bijoux
lunettes de soleil;die Sonnenbrille-n;vêtements & bijoux
porter (lunettes, chapeau);haben (auf);vêtements & bijoux
environnement;die Umwelt-en;nature, environnement
climat;das Klima-ta;nature, environnement
temps (météo);das Wetter-;nature, environnement
vague (masse de fluide);die Welle-n;nature, environnement
planète;der Planet-en;nature, environnement
la terre (planète);die Erde-n;nature, environnement
terre, sol;die Erde-n;nature, environnement
sol (parterre);der Grund-″e;nature, environnement
sable;der Sand-e;nature, environnement
sauvage;wild;nature, environnement
rocher;der Fels-en;nature, environnement
caillou;der Stein-e;nature, environnement
boue;der Match;nature, environnement
froid;kalt;nature, environnement
chaud;warm;nature, environnement
chaud brûlant;heiß;nature, environnement
nuageux;bewölkt;nature, environnement
ensoleillé;sonnig;nature, environnement
briller (emmettre de la lumière);scheinen (ie-ie);nature, environnement
briller, luire;glühen;nature, environnement
pluie;der Regen;nature, environnement
pleuvoir;regnen;nature, environnement
neige;der Schnee;nature, environnement
neiger;schneien;nature, environnement
grêle;der Hagel-;nature, environnement
lune;der Mond-e;nature, environnement
soleil;die Sonne;nature, environnement
ombre;der Schatten-;nature, environnement
grêler;hageln;nature, environnement
brumeux;nebelig;nature, environnement
brume;der Nebel-;nature, environnement
montagne;der Berg-e;nature, environnement
colline;der Hügel-;nature, environnement
prairie;die Wiese-n;nature, environnement
ruisseau;der Bach-″e;nature, environnement
rivière;der Fluss-″e;nature, environnement
désert (endroit);die Wüste-n;nature, environnement
source;die Quelle-n;nature, environnement
grotte;die Höhle-n;nature, environnement
flocon de neige;die Schneeflocke-n;nature, environnement
ciel;der Himmel-;nature, environnement
étoile;der Stern-e;nature, environnement
vallée;das Tal-″er;nature, environnement
vent;der Wind-e;nature, environnement
air (gaz);die Luft-″e;nature, environnement
liquide, fluide (substance);die Flüssigkeit-en;nature, environnement
résistant, visqueux;zäh;nature, environnement
feu;das Feuer-;nature, environnement
glace (eau gelée);das Eis-e;nature, environnement
nuage;die Wolke-n;nature, environnement
goutte (objet liquide);der Tropfen-;nature, environnement
nature (l'environnement naturel);die Natur-e;nature, environnement
déchet, poubelle (à jeter);der Müll;déchets
déchet (reste);der Abfall-″e;déchets
ranger;auf-räumen;déchets
recycler;recyceln, wieder-verwerten;déchets
recyclage;das Recycling, die Wiederverwertung;déchets
corbeille à papier;der Papierkorb-″e;déchets
papier;das Papier-e;déchets
carton;der Karton-e;déchets
métal;das Metall-e;déchets
verre (matériau);das Glas-″er;déchets
plastique (matériau);der Kunststoff-e;déchets
matériau mélangés;der Verbundstoff-e;déchets
trier (déchets);trennen;déchets
papier à recycler;das Altpapier-e;déchets
poubelle (conteneur cylindrique);die Tonne-n;déchets
(sac jaune);der gelb(e) Sack-″e;déchets
poussière;der Staub-″e;déchets
benne (à ordure);der Müllcontainer-;déchets
déchets organiques;der Biomüll;déchets
détritus non recyclables;der Restmüll;déchets
collecte des ordures;die Müllabfuhr-en;déchets
écologique;ökologisch;déchets
protection de l'environnement;der Umweltschutz;déchets
description;die Beschreibung-en;descriptions
décrire;beschreiben (ie-ie);descriptions
représenter (de façon graphique);dar-stellen;descriptions
représentation (graphique);die Darstellung-en;descriptions
paysage;die Landschaft-en;descriptions
situation;die Situation-en;descriptions
atmosphère (psy);die Stimmung-en;descriptions
comparaison;der Vergleich-e;descriptions
en comparaison;im Vergleich;descriptions
il me semble;es scheint mir;descriptions
sembler;aus-sehen (ie-a-e), scheinen (ie-ie);descriptions
avant plan;der Vordergrund-″e;descriptions
arrière plan;der Hintergrund-″e;descriptions
milieu (centre);die Mitte-n;descriptions
au milieu;in der Mitte;descriptions
à droite;rechts;descriptions
à gauche;links;descriptions
devant (adv.);vorne;descriptions
derrière (adv.);hinten;descriptions
c'est different;es ist anders (als);descriptions
en particulier;besonders;descriptions
expérience (vécue);die Erfahrung-en;vécu, habitude
faire l'expérience, obtenir de l'expérience;erfahren (ä-u-a);vécu, habitude
faire l'expérience, vivre;erleben;vécu, habitude
vie de tout les jours;der Alltag;vécu, habitude
typique;typisch ;vécu, habitude
normal, ordinaire;gewöhnlich;vécu, habitude
normal;normal;vécu, habitude
inhabituel;ungewöhnlich;vécu, habitude
étrange;seltsam;vécu, habitude
exceptionnel;außergewöhnlich;vécu, habitude
remarquable;merkwürdig;vécu, habitude
rare;selten;vécu, habitude
régulier (suivant la règle);regelmäßig;vécu, habitude
surprenant;überraschend;vécu, habitude
surprendre;überraschen;vécu, habitude
surprise;die Überraschung-en;vécu, habitude
incroyable;wahnsinnig;vécu, habitude
vivre;leben;vécu, habitude
humeur;die Laune-n;humeur, émotions
blague;der Witz-e;humeur, émotions
rage, colère;die Wut;humeur, émotions
colère (contre quelquechose considéré comme injuste ou contraire à sa volonté);der Zorn;humeur, émotions
en colère;wütend;humeur, émotions
faché, amer;sauer;humeur, émotions
énervé;verärgert;humeur, émotions
ennuyé, énervé;genervt;humeur, émotions
passion, ardeur;die Leidenschaft-en;humeur, émotions
jaloux;eifersüchtig;humeur, émotions
jalousie;die Eifersucht;humeur, émotions
reprocher;vor-werfen (i-a-o);humeur, émotions
grossier;grob;humeur, émotions
aimer;lieben;humeur, émotions
aimer (quelquechose), bien aimer;mögen (a-och-och);humeur, émotions
sourire (verbe);lächeln;humeur, émotions
déguster, jouir, bénéficier;genießen (o-o);humeur, émotions
rire;lachen;humeur, émotions
comportement;das Verhalten-;humeur, émotions
larme, pleur;die Träne-n;humeur, émotions
pleurer;weinen;humeur, émotions
souffrir;leiden (itt-itt);humeur, émotions
terrible, affreux;schrecklich;humeur, émotions
beau;schön;humeur, émotions
joli;hübsch;humeur, émotions
gentil;nett;humeur, émotions
fier (adj.);stolz;humeur, émotions
heureux;froh;humeur, émotions
laid;hässlich;humeur, émotions
joyeux;fröhlich;humeur, émotions
souci, préoccupation;die Sorge-n;humeur, émotions
s'inquiéter;sich sorgen;humeur, émotions
heureux;glücklich;humeur, émotions
relaxé;entspannt;humeur, émotions
intéressé;interessiert;humeur, émotions
être intéressé par;sich interessieren (für);humeur, émotions
enthousiasmé;begeistert;humeur, émotions
fasciner;faszinieren;humeur, émotions
triste;traurig;humeur, émotions
content;zufrieden;humeur, émotions
stressé;gestresst;humeur, émotions
ennuyé (qui s'ennuie);gelangweilt;humeur, émotions
pensif;nachdenklich;humeur, émotions
déprimé;deprimiert;humeur, émotions
malheureux;unglücklich;humeur, émotions
mécontent;unzufrieden;humeur, émotions
excité;aufgeregt;humeur, émotions
tendu;gespannt;humeur, émotions
calme, sans excitation;ruhig;humeur, émotions
impulsion;der Impuls-e;humeur, émotions
honte (sentiment);die Scham;humeur, émotions
honte (objet);die Schande;humeur, émotions
plaisant;angenehm;humeur, émotions
plaisir, amusement;der Spaß-″e an+D;humeur, émotions
drôle, amusant;lustig;humeur, émotions
drôle, bizarre;komisch;humeur, émotions
personnel;persönlich;humeur, émotions
géner (émotion);unangenehm sein;humeur, émotions
déplaisant;unangenehm;humeur, émotions
humilier;demütigen;humeur, émotions
dommage;schade;humeur, émotions
malheureusement;leider;humeur, émotions
décevoir (ne pas être à la hauteur);enttäuschen;humeur, émotions
espérer;hoffen;humeur, émotions
sérieux;ernst;humeur, émotions
crier;schreien (ie-geschrien);humeur, émotions
ressentir, sentir;fühlen;humeur, émotions
être dans un état émotionnel;sich fühlen;humeur, émotions
se réjouir;sich freuen;humeur, émotions
exciter;auf-regen;humeur, émotions
énerver;nerven;humeur, émotions
peur (émotion);die Angst-″e;humeur, émotions
avoir peur (émotion);Angst haben (vor+D);humeur, émotions
malgrès tout;trotzdem;raisonnement, opinion
en outre, de plus;ferner;raisonnement, opinion
pourtant;dennoch;raisonnement, opinion
pourtant;jedoch;raisonnement, opinion
en même temps;gleichzeitig;raisonnement, opinion
lier, combiner;verknüpfen;raisonnement, opinion
négliger;vernachlässigen;raisonnement, opinion
probable, vraisemblable;wahrscheinlich;raisonnement, opinion
nécessaire;notwendig;raisonnement, opinion
prémisse;die Voraussetzung-en;raisonnement, opinion
diagramme;das Diagramm-e;raisonnement, opinion
symbolique;symbolisch;raisonnement, opinion
esquisser;skizzieren;raisonnement, opinion
comparer;vergleichen;raisonnement, opinion
dans le sens où/que;in dem Sinne, dass;raisonnement, opinion
avis;die Ansicht-en;raisonnement, opinion
avantage;der Vorteil-e;raisonnement, opinion
vérité;die Wahrheit-en;raisonnement, opinion
mensonge;die Lüge-n;raisonnement, opinion
conscient, réfléchi;bewusst;raisonnement, opinion
c'est exact;das stimmt;raisonnement, opinion
exception;die Ausnahme-n;raisonnement, opinion
relation (lien, rapport);die Beziehung-en;raisonnement, opinion
réfléchir;nach-denken (ach-ach);raisonnement, opinion
comprendre;greifen (if-if);raisonnement, opinion
paraître, sembler;vor-kommen (a-o);raisonnement, opinion
défaut, inconvénient;der Nachteil-e;raisonnement, opinion
savoir;wissen (ei-u-u);raisonnement, opinion
prendre connaissance de;erfahren (ä-u-a);raisonnement, opinion
se rendre compte;merken;raisonnement, opinion
connaître;kennen (a-a);raisonnement, opinion
contradiction (incompatibilité logique);der Widerspruch-″e;raisonnement, opinion
contradiction (action de contredire);der Widerspruch-″e;raisonnement, opinion
réel, véritable;wirklich;raisonnement, opinion
vrai, véritable;wahr;raisonnement, opinion
faux, erroné;falsch;raisonnement, opinion
vérifier, examiner;überprüfen;raisonnement, opinion
sûrement;sicherlich;raisonnement, opinion
valeur (caractère intrinsèque désirable);der Wert-e;raisonnement, opinion
s'opposer, resister;sich widersetzen (+D);raisonnement, opinion
peut-être;vielleicht;raisonnement, opinion
cause;die Ursache-n;raisonnement, opinion
possiblement;möglicherweise;raisonnement, opinion
supposemment;vermutlich;raisonnement, opinion
présumer;vermuten;raisonnement, opinion
suspecter;verdächtigen;raisonnement, opinion
être de l'avis;meinen;raisonnement, opinion
incertain;unsicher;raisonnement, opinion
convaincu;überzeugt;raisonnement, opinion
douter;zweifeln (an+D);raisonnement, opinion
défendre, justifier;verteidigen;raisonnement, opinion
justifier;rechtfertigen;raisonnement, opinion
concerner, porter sur;betreffen (+A) (i-a-o);raisonnement, opinion
considérer (comme);halten (für, als) (ä-ie-a);raisonnement, opinion
trouver (opinion);finden (a-u);raisonnement, opinion
impression;der Eindruck-″e;raisonnement, opinion
avoir l'impression;den Eindruck haben;raisonnement, opinion
selon moi;meiner Meinung nach;raisonnement, opinion
opinion;die Meinung-en;raisonnement, opinion
croire;glauben;raisonnement, opinion
il se pourrait;es könnte sein;raisonnement, opinion
faire l’hypothèse;an-nehmen (im-ah-om);raisonnement, opinion
supposer;vermuten;raisonnement, opinion
s’étonner;sich wundern (über);raisonnement, opinion
celà m’étonne;es wundert mich;raisonnement, opinion
précisément;genauso (wie);raisonnement, opinion
idée;die Idee-n, die Ahnung-en;raisonnement, opinion
oublier;vergessen (i-a-e);raisonnement, opinion
se souvenir;sich erinnern (an+A);raisonnement, opinion
clair (visible);klar;raisonnement, opinion
penser;denken (ach-ach);raisonnement, opinion
confus (désorienté);verwirrt;raisonnement, opinion
confondre, dérouter;verwirren;raisonnement, opinion
sens, signification;der Sinn-e;raisonnement, opinion
évident, naturel;selbstverständlich;raisonnement, opinion
faculté de comprendre;das Verständnis-se;raisonnement, opinion
sensé, rationnel;sinnvoll;raisonnement, opinion
absurde;sinnlos;raisonnement, opinion
venir à l'esprit;ein-fallen (+D) (ä-ie-a);raisonnement, opinion
important;wichtig;raisonnement, opinion
sans importance;egal;raisonnement, opinion
cas;der Fall-″e;raisonnement, opinion
craindre (rationnellement);fürchten;raisonnement, opinion
faire attention;auf-passen (auf+A);raisonnement, opinion
imaginer, se représenter;sich vor-stellen;raisonnement, opinion
sûr;sicher;raisonnement, opinion
s’attendre;erwarten;raisonnement, opinion
intéressant;interessant;raisonnement, opinion
super;super, toll;raisonnement, opinion
être valable;gelten (i-a-o);raisonnement, opinion
super;hammer;raisonnement, opinion
excellent;hervorragend;raisonnement, opinion
bon;gut;raisonnement, opinion
indépendant (sans rapport avec);unabhängig;raisonnement, opinion
super (de première classe);prima;raisonnement, opinion
prévoir, prédire;vorher-sagen;raisonnement, opinion
plan (projet);der Plan-″e;raisonnement, opinion
planifier;planen;raisonnement, opinion
dépendre de;ab-hängen (von);raisonnement, opinion
reconnaitre, identifier;erkennen (a-a);raisonnement, opinion
comprendre;verstehen (and-and);raisonnement, opinion
ignorer (délibérement);ignorieren;raisonnement, opinion
raisonnable;vernünftig;raisonnement, opinion
estimer (évaluer);schätzen;raisonnement, opinion
sousestimer;unterschätzen, unterbewerten;raisonnement, opinion
surestimer;überschätzen;raisonnement, opinion
remarquer, noter, se rendre compte;bemerken;raisonnement, opinion
évident, apparent;offensichtlich;raisonnement, opinion
manifeste, évident;offenbar;raisonnement, opinion
voyager;reisen;transports, voyage
voyage;die Reise-n;transports, voyage
moyen de transport;das Verkehrsmittel-;transports, voyage
transport public;das öffentliche Verkehrsmittel-;transports, voyage
logement transitoire (hotel, etc);die Unterkunft-″e;transports, voyage
bagage;das Gepäck-e;transports, voyage
sac à dos;der Rucksack-″e;transports, voyage
départ;die Abfahrt-en;transports, voyage
partir (départ);ab-fahren (ä-u-a);transports, voyage
arriver;an-kommen (a-o);transports, voyage
arrivée;die Ankunft-″e;transports, voyage
avion;das Flugzeug-e;transports, voyage
vol (avion);der Flug-″e;transports, voyage
aéroport;der Flughafen-″;transports, voyage
gare;der Bahnhof-″e;transports, voyage
train;der Zug-″e;transports, voyage
wagon;der Wagen-″;transports, voyage
voie (de chemin de fer);der Gleis-e;transports, voyage
porte d'embarquement;das Gate-s;transports, voyage
papier d'identité;der Ausweis-e;transports, voyage
visiter (tourisme);besichtigen;transports, voyage
tourisme;der Tourismus;transports, voyage
réserver;buchen;transports, voyage
bus;der Bus-se;transports, voyage
ligne (de bus);die Linie-n;transports, voyage
camping;das Camping;transports, voyage
lieu de rassemblement, campement;das Lager-″;transports, voyage
étranger (adj.);fremd;transports, voyage
language étrangère;die Fremdsprache-n;transports, voyage
hotel;das Hotel-s;transports, voyage
sites d'intérêt;die Sehenswürdigkeit-en;transports, voyage
musée;das Museum-/en;transports, voyage
guide (tourisme);der Reiseführer-, die Reiseführerin-nen;transports, voyage
passeport;der Reisepass-″e;transports, voyage
plage;der Strand-″e;transports, voyage
fuseau horaire;die Zeitzone-n;transports, voyage
tente;das Zelt-e;transports, voyage
arrêt de bus;die Bushaltestelle-n;transports, voyage
terminus;die Endstation-en;transports, voyage
monter (train etc);ein-steigen (ie-ie);transports, voyage
changer (de train);um-steigen (ie-ie);transports, voyage
descendre (train etc);aus-steigen (ie-ie);transports, voyage
voiture;das Auto-s;transports, voyage
pneu;der Reifen-;transports, voyage
traffic;der Verkehr-e;transports, voyage
bouchon (traffic);der Stau-s;transports, voyage
autoroute;die Autobahn-en;transports, voyage
route, voie;die Bahn-en;transports, voyage
chemin de fer;die Bahn-en;transports, voyage
plateforme (gare);der Bahnsteig-e;transports, voyage
ferry;die Fähre-n;transports, voyage
bateau, barque;das Boot-e;transports, voyage
bateau, navire;der Schiff-e;transports, voyage
ticket (titre de transport);die Fahrkarte-n;transports, voyage
véhicule (transport);das Fahrzeug-e;transports, voyage
permis de conduire;der Führeschein-e;transports, voyage
arrêt (de bus);die Haltestelle-n;transports, voyage
ICE (tgv allemand);der ICE-s (Intercity-Express);transports, voyage
véhicule à moteur;das Kraftfahrzeug-e;transports, voyage
camion, poid lourd (familier);der Laster-;transports, voyage
camion;der Lastkraftwagen-″, der LKW-s;transports, voyage
moto;das Motorrad-″er;transports, voyage
parking (bâtiment);das Parkhaus-″er;transports, voyage
véhicule personel;der Personalkraftwagen-″, der PKW-s;transports, voyage
agence de voyage;das Reisebüro-s;transports, voyage
retour (voyage);die Rückfahrt-en;transports, voyage
partir, commencer à voyager;los-fahren (ä-u-a), weg-fahren (ä-u-a);transports, voyage
aller/venir chercher;ab-holen;transports, voyage
être en mouvement;sich bewegen;transports, voyage
s'arrêter, être immobile;an-halten (ä-ie-a) (haben);transports, voyage
emporter (porter quelquechose);mit-nehmen (im-ah-om);transports, voyage
se garer;parken;transports, voyage
atterrir;landen;transports, voyage
transporter;transportieren;transports, voyage
rester;bleiben (ie-ie);transports, voyage
rester en arrière, ne pas accompagner;zurück-bleiben (ie-ie);transports, voyage
tourner (qqchose);wenden;transports, voyage
vers le haut (adv.);aufwärts;transports, voyage
vers le bas (adv.);abwärts;transports, voyage
en avant (adv.);vorwärts;transports, voyage
en arrière (adv.);rückwärts;transports, voyage
en haut;oben;transports, voyage
en bas;unten;transports, voyage
tout droit;geradeaus;transports, voyage
accessible;erreichbar;transports, voyage
pressé, urgent;eilig;transports, voyage
manger;essen (i-a-e);manger, boire
soupe;die Suppe-n;manger, boire
boire;trinken (a-u);manger, boire
nourriture, repas;das Essen;manger, boire
repas;die Mahlzeit-en;manger, boire
plat (aliment);die Speise-n;manger, boire
boisson;das Getränk-e;manger, boire
café (boisson);der Kaffee;manger, boire
établissement gastronomique;der Lokal-e;manger, boire
café (endroit);das Café-s;manger, boire
bistro;die Kneipe-n;manger, boire
restaurant;das Restaurant-s;manger, boire
menu (carte);die Speisekarte-n;manger, boire
acheter;kaufen;argent, commerce
vendre;verkaufen;argent, commerce
faire les courses;ein-kaufen;argent, commerce
magasin;das Geschäft-e;argent, commerce
magasin (endroit);der Laden-″;argent, commerce
prix;der Preis-e;argent, commerce
habit;die Kleindung-en;argent, commerce
commerce (achat et vente de biens);der Handel-″;argent, commerce
emballage;die Packung-en;argent, commerce
louer (mettre à disposition en échange d'argent);vermieten;argent, commerce
louer (payer pour utiliser);mieten;argent, commerce
emprunter;leihen (ie-ie);argent, commerce
donner;geben (i-a-e);argent, commerce
prêter;leihen (ie-ie);argent, commerce
recevoir, obtenir;bekommen (a-o);argent, commerce
recevoir;erhalten (ä-ie-a);argent, commerce
obtenir (après un effort ou une attente);erlangen;argent, commerce
recevoir (invité, cadeau);empfangen (ä-i-a);argent, commerce
coûter;kosten;argent, commerce
caisse;die Kasse-n;argent, commerce
reçu;der Beleg-e;argent, commerce
payer;bezahlen;argent, commerce
paiement;die Bezahlung-en;argent, commerce
revenu (argent);das Einkommen-;argent, commerce
rabat;der Rabatt-e;argent, commerce
publicité;die Werbung-en;argent, commerce
monnaie (pièces & billets);das Bargeld-er;argent, commerce
pièce de monnaie;die Münze-n;argent, commerce
argent (monnaie);das Geld-er;argent, commerce
riche;reich;argent, commerce
pauvre;arm;argent, commerce
pauvreté;die Armut;argent, commerce
billet de banque;der Geldschein-e;argent, commerce
taxe, frais;die Gebühr-en;argent, commerce
salaire, récompense;der Lohn-″e;argent, commerce
trésor;der Schatz-″e;argent, commerce
cher (prix);teuer;argent, commerce
gratuit;frei;argent, commerce
gratuitement;umsonst;argent, commerce
pas cher (prix);billig;argent, commerce
département (division);die Abteilung-en;argent, commerce
articles pour la maison;die Haushaltware-n;argent, commerce
offre (produits disponibles);das Angebot-e;argent, commerce
zone piétonne;die Fußgängerzone-n;argent, commerce
ticket de caisse;der Kassenbeleg-e;argent, commerce
grand magasin;das Kaufhaus-″er;argent, commerce
denrées alimentaires;das Lebensmittel-;argent, commerce
marque (TM);die Marke-n;argent, commerce
facture;die Rechnung-en;argent, commerce
vitrine;das Schaufenster-;argent, commerce
fournitures de bureau;(pl.) Schreibwaren;argent, commerce
offre spéciale;das Sonderangebot-e;argent, commerce
marché hebdomadaire;der Wochenmarkt-″e;argent, commerce
qualité;die Qualität-en;argent, commerce
reçu, quittance;die Quittung-en;argent, commerce
commander (acheter);bestellen;argent, commerce
se charger de, procurer;besorgen;argent, commerce
échanger (achat);um-tauschen;argent, commerce
rendre, restituer;zurück-geben (i-a-e);argent, commerce
de bon rapport qualité-prix;preiswert;argent, commerce
regarder (chercher);um-schauen;argent, commerce
annonce (petite annonce);die Anzeige-n;argent, commerce
virement permanent;der Dauerauftrag-″e;argent, commerce
distributeur automatique de billets;der Geldautomat-en;argent, commerce
compte courrant;das Girokonto-/en;argent, commerce
relevé de compte;der Kontoauszug-″e;argent, commerce
